model,split,r2,rmse,mae
RF_basic_desc,valid,0.5490611007956805,0.7963917719855853,0.6005142497908742
RF_basic_desc,test,0.47281403584565473,0.8758317431476528,0.6577659332610474
SVR_basic_desc,valid,0.48388988371985897,0.8519990296198536,0.6311535747121442
SVR_basic_desc,test,0.4801656612305917,0.8697035526420702,0.6615233919279717
XGB_baseline_desc_fp,valid,0.7388110756874084,0.6061014130971598,0.4528016448020935
XGB_baseline_desc_fp,test,0.6834608316421509,0.6786603730391735,0.5075300335884094
XGB_rich_desc_fp_maccs,valid,0.7748379707336426,0.5627499395969516,0.4202830493450165
XGB_rich_desc_fp_maccs,test,0.7042986750602722,0.6559419363016312,0.48101022839546204
CatBoost_rich_desc_fp_maccs,valid,0.7538019518955885,0.5884508804377864,0.4544022846509531
CatBoost_rich_desc_fp_maccs,test,0.6972793220246782,0.6636816431831869,0.4862260413378563
PyTorch_MLP_rich_desc_fp_maccs,valid,0.7734608054161072,0.5644683307856704,0.4192803204059601
PyTorch_MLP_rich_desc_fp_maccs,test,0.6966718435287476,0.6643472846235163,0.4634060263633728
Weighted_Ensemble_rich,valid,0.7948891520500183,0.5371087369048057,0.3988504111766815
Weighted_Ensemble_rich,test,0.7231979370117188,0.6346341275679611,0.45173126459121704
