feature,mean_abs_shap
MolLogP,0.412268830846539
fr_COO,0.24056060972715265
VSA_EState5,0.0711526929380312
MACCS_104,0.05320429317613325
SMR_VSA10,0.05126974279406868
SlogP_VSA10,0.04403376860137768
PEOE_VSA13,0.04195036779959189
BalabanJ,0.04132194655957119
PEOE_VSA7,0.03990645332706832
Morgan_1308,0.02704236157538497
SPS,0.02685482872707845
PEOE_VSA6,0.026534462719807236
RingCount,0.023172982707854388
VSA_EState9,0.022777003354982117
NumAromaticRings,0.021094214245164472
NHOHCount,0.02082540192073105
SlogP_VSA2,0.01879374872458232
MinEStateIndex,0.018449400151170768
SlogP_VSA1,0.01827433841324566
fr_aniline,0.016737773202036624
